1,M,Lagaffe,Gaston
2,Mme,Blanc-Sec,Adèle
3,M,Naudin,Fernand
4,M,Volfoni,Raoul
5,M,Volfoni,Paul
6,M,Beretto,Antoine
7,M,Michalon,Léonard
8,Mme,Michalon,Eglantine
9,M,Pignon,François
10,M,Leblanc,Juste
11,Mlle,Sasseur,Marlène
12,Mme,Brochant,Christine
14,M,Cheval,Lucien
15,Mlle,Blond,Louisette
16,M,Milan,Ralf
17,M,Perrin,François
18,Mlle,Bens,Marie
19,Mlle,Salander,Lisbeth
20,Mlle,Croft,Lara
24,M,McLean,John
25,Mlle,Starling,Clarice
28,M,MacLeod,Conrad
29,Mlle,Lando,Mathilda
30,M,McFly,Martin
31,Dr,Brown,Emmet
32,M,Tannen,Biff
33,M,Dallas,Korben
37,M,Alexander,DeLarge
38,M,Wayne,Bruce
39,M,Gordon,James
40,Mlle,Kathy,Kane
41,Mlle,Betty,Kane
42,M,Grayson,Dick
43,M,Napier,Jack
49,M,Dalton,Joe
50,M,Dalton,William
51,M,CRUCHOT,Ludovic
